"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAGtitle","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"34",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","010","010","010","Energy Management - Def","U",2015,"Base",NA,NA,0,NA,NA
"35",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","08","Supply Chain Management - Defense","Working Capital Fund Support","020","020","010","Supply Chain Management - Def","U",2015,"Base",NA,NA,44293,NA,NA
"36",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","030","030","ES08","Defense Logistics Agency (DLA)","U",2015,"Base",NA,NA,0,NA,NA
"37",2016,"493004D","Working Capital Fund, DECA","DECA","01","Commissary Resale Stocks","Working Capital Fund Support","010","010","ES11","Working Capital Fund, DECA","U",2015,"Base",NA,NA,0,NA,NA
"38",2016,"493004D","Working Capital Fund, DECA","DECA","02","Commissary Operations","Working Capital Fund Support","020","020","ES12","Working Capital Fund, DECA","U",2015,"Base",NA,NA,1304731,NA,NA
"39",2016,"493001A","Working Capital Fund, Army","ARMY","01","Working Capital Fund","Army Arsenals Initiative","010","010","100","Industrial Operations","U",2015,"OCO",NA,NA,0,NA,NA
"40",2016,"493001A","Working Capital Fund, Army","ARMY","04","Supply Management - Army","Army Supply Management","020","020","400","Supply Management - Army","U",2015,"OCO",NA,NA,0,NA,NA
"41",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","010","010","0100","LMSR","U",2015,"OCO",NA,NA,0,NA,NA
"42",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","020","020","0120","T-AKE","U",2015,"OCO",NA,NA,0,NA,NA
"43",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","030","030","0401","MPF MLP","U",2015,"OCO",NA,NA,0,NA,NA
"44",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","040","040","5000","Post Delivery and Outfitting","U",2015,"OCO",NA,NA,0,NA,NA
"45",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","050","050","0200","National Def Sealift Vessel","U",2015,"OCO",NA,NA,0,NA,NA
"46",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","060","060","0220","LG Med Spd Ro/Ro Maintenance","U",2015,"OCO",NA,NA,0,NA,NA
"47",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","070","070","0230","DoD Mobilization Alterations","U",2015,"OCO",NA,NA,0,NA,NA
"48",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","080","080","0250","TAH Maintenance","U",2015,"OCO",NA,NA,0,NA,NA
"49",2016,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","090","090","0900","Research And Development","U",2015,"OCO",NA,NA,0,NA,NA
"50",2016,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","100","100","0500","Ready Reserve Force","U",2015,"OCO",NA,NA,0,NA,NA
"51",2016,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","Working Capital Fund","010","010","110","Supplies and Materials","U",2015,"OCO",NA,NA,0,NA,NA
"52",2016,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","Working Capital Fund","020","020","ES17","Transportation of Fallen Heroes","U",2015,"OCO",NA,NA,5000,NA,NA
"53",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","010","010","010","Energy Management - Def","U",2015,"OCO",NA,NA,47000,NA,NA
